"Label","Alaska!!Total!!Estimate","Maine!!Total!!Estimate","North Carolina!!Total!!Estimate","Missouri!!Total!!Estimate","Pennsylvania!!Total!!Estimate","Michigan!!Total!!Estimate","Nebraska!!Total!!Estimate","Oregon!!Total!!Estimate","Wyoming!!Total!!Estimate","California!!Total!!Estimate","Mississippi!!Total!!Estimate","Connecticut!!Total!!Estimate","Texas!!Total!!Estimate","Idaho!!Total!!Estimate","Maryland!!Total!!Estimate","New Mexico!!Total!!Estimate","Alabama!!Total!!Estimate","Tennessee!!Total!!Estimate","Vermont!!Total!!Estimate","Nevada!!Total!!Estimate","West Virginia!!Total!!Estimate","Oklahoma!!Total!!Estimate","Wisconsin!!Total!!Estimate","Puerto Rico!!Total!!Estimate","Kansas!!Total!!Estimate","Virginia!!Total!!Estimate","North Dakota!!Total!!Estimate","New Jersey!!Total!!Estimate","Ohio!!Total!!Estimate","South Carolina!!Total!!Estimate","Georgia!!Total!!Estimate","Colorado!!Total!!Estimate","Hawaii!!Total!!Estimate","South Dakota!!Total!!Estimate","Indiana!!Total!!Estimate","Kentucky!!Total!!Estimate","Louisiana!!Total!!Estimate","Washington!!Total!!Estimate","Illinois!!Total!!Estimate","Iowa!!Total!!Estimate","New Hampshire!!Total!!Estimate","Rhode Island!!Total!!Estimate","Arkansas!!Total!!Estimate","Delaware!!Total!!Estimate","Minnesota!!Total!!Estimate","Montana!!Total!!Estimate","Arizona!!Total!!Estimate","Florida!!Total!!Estimate","Massachusetts!!Total!!Estimate","District of Columbia!!Total!!Estimate","Utah!!Total!!Estimate","New York!!Total!!Estimate"
"        Less than 9th grade","10,640","24,600","200,778","114,124","249,112","161,150","32,572","58,143","6,797","1,147,037","93,466","66,360","745,191","24,472","97,827","56,432","118,452","175,063","8,442","54,956","51,324","70,779","85,995","336,381","41,812","163,575","15,546","188,446","206,022","108,022","203,340","76,192","28,779","14,171","141,918","149,967","132,683","100,582","255,454","49,035","21,599","25,022","74,892","16,821","74,789","13,693","158,255","480,480","148,210","11,472","28,144","541,093"
"        9th to 12th grade, no diploma","26,444","52,524","584,883","330,937","616,418","499,570","68,183","185,531","25,914","1,655,142","223,411","140,171","1,399,208","78,632","245,686","134,409","361,105","402,952","24,270","153,711","125,139","236,416","239,610","194,012","111,068","386,258","25,287","321,265","628,854","321,454","638,227","209,454","39,736","37,075","391,840","272,127","350,812","277,579","548,103","118,711","50,881","49,862","183,542","47,602","181,950","43,308","361,342","1,108,062","260,734","24,872","112,538","907,828"
"        High school graduate (includes equivalency)","160,451","342,506","2,006,153","1,425,877","3,438,340","2,217,910","364,914","727,912","128,479","5,700,939","669,560","715,344","4,965,575","364,447","1,089,090","406,514","1,168,042","1,645,147","148,257","607,942","567,372","914,143","1,362,764","720,523","553,794","1,573,621","148,841","1,655,721","2,944,021","1,167,602","2,154,136","916,890","283,857","198,743","1,646,874","1,126,058","1,199,466","1,245,168","2,412,512","714,742","307,175","232,552","770,535","244,349","1,023,146","235,406","1,268,920","4,428,650","1,198,355","99,438","495,871","3,584,694"
"        Some college, no degree","148,709","236,725","1,837,548","1,146,249","1,792,444","1,950,975","349,519","853,537","120,333","6,611,903","560,421","525,586","4,711,885","345,652","931,025","399,155","886,600","1,189,177","103,584","583,585","301,695","739,378","1,020,683","416,617","540,551","1,360,002","144,944","1,217,284","2,010,151","883,120","1,714,768","969,786","232,821","144,419","1,116,232","774,445","796,361","1,364,019","2,109,665","550,783","223,258","169,944","549,241","149,356","951,408","213,870","1,389,701","3,383,383","961,494","81,020","589,770","2,578,936"
"        Associate's degree","41,699","99,301","734,078","368,097","805,992","689,604","144,797","281,441","46,062","2,158,366","225,059","199,028","1,373,120","118,893","294,136","119,558","310,804","373,922","39,333","178,135","102,113","220,224","463,579","262,649","188,669","472,086","82,195","421,832","723,304","370,622","585,471","340,812","111,751","76,351","415,367","278,441","211,913","558,284","742,204","267,241","102,724","66,975","167,399","54,332","469,157","75,647","446,509","1,538,610","370,597","13,643","214,821","1,223,564"
"        Bachelor's degree","89,107","205,198","1,496,734","787,128","1,798,361","1,279,897","283,910","633,177","67,939","5,507,471","298,001","554,968","3,534,680","220,005","926,603","226,308","558,690","831,536","109,047","324,834","175,667","446,609","822,580","453,927","423,096","1,322,125","115,082","1,514,311","1,497,600","649,088","1,375,082","1,047,679","210,611","125,006","807,551","463,854","513,359","1,165,008","1,873,612","439,944","227,482","156,319","309,602","125,319","955,496","161,452","904,959","2,804,292","1,209,374","137,112","432,248","2,851,606"
"        Graduate or professional degree","55,194","109,807","769,526","460,958","1,080,545","743,772","136,365","358,430","38,120","3,057,972","170,740","412,908","1,772,675","100,313","735,783","165,008","308,519","457,369","67,341","172,003","107,848","225,116","406,543","177,183","232,524","936,019","35,456","879,475","853,968","350,169","815,775","590,227","108,951","51,324","415,398","304,027","254,485","644,899","1,133,216","186,763","136,693","102,403","168,901","83,088","450,968","80,292","506,085","1,584,338","887,040","158,836","213,949","2,082,308"
"        High school degree or higher","495,160","993,537","6,844,039","4,188,309","8,915,682","6,882,158","1,279,505","2,854,497","400,933","23,036,651","1,923,781","2,407,834","16,357,935","1,149,310","3,976,637","1,316,543","3,232,655","4,497,151","467,562","1,866,499","1,254,695","2,545,470","4,076,149","2,030,899","1,938,634","5,663,853","526,518","5,688,623","8,029,044","3,420,601","6,645,232","3,865,394","947,991","595,843","4,401,422","2,946,825","2,975,584","4,977,378","8,271,209","2,159,473","997,332","728,193","1,965,678","656,444","3,850,175","766,667","4,516,174","13,739,273","4,626,860","490,049","1,946,659","12,321,108"
"        Bachelor's degree or higher","144,301","315,005","2,266,260","1,248,086","2,878,906","2,023,669","420,275","991,607","106,059","8,565,443","468,741","967,876","5,307,355","320,318","1,662,386","391,316","867,209","1,288,905","176,388","496,837","283,515","671,725","1,229,123","631,110","655,620","2,258,144","150,538","2,393,786","2,351,568","999,257","2,190,857","1,637,906","319,562","176,330","1,222,949","767,881","767,844","1,809,907","3,006,828","626,707","364,175","258,722","478,503","208,407","1,406,464","241,744","1,411,044","4,388,630","2,096,414","295,948","646,197","4,933,914"
"    POVERTY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total Citizens, 18 years and older, for whom poverty status is determined","519,019","1,043,005","7,392,393","4,485,414","9,433,711","7,368,915","1,338,264","3,041,834","422,610","25,279,607","2,155,572","2,521,646","18,008,534","1,228,304","4,201,007","1,475,778","3,610,653","4,939,053","478,729","2,046,084","1,389,017","2,759,421","4,280,523","2,537,780","2,021,709","5,997,036","546,513","6,057,739","8,594,425","3,730,160","7,257,956","4,049,465","986,739","623,323","4,774,453","3,256,528","3,346,701","5,254,428","8,830,210","2,242,807","1,033,150","767,630","2,150,536","698,953","4,011,388","804,355","4,910,593","14,993,461","4,838,216","497,589","2,052,201","13,371,194"
"        Income in the past 12 months below poverty level","51,051","114,438","866,201","517,093","1,010,716","905,406","130,638","343,849","42,105","2,587,283","366,921","224,748","2,057,713","131,309","331,338","247,148","524,972","638,676","51,013","220,139","222,590","365,488","425,134","1,010,531","213,532","574,018","57,163","464,164","1,034,182","482,888","879,107","347,857","74,629","73,236","538,289","483,797","535,282","477,144","931,050","225,223","68,915","83,428","318,945","72,431","342,929","97,803","542,438","1,699,386","421,007","72,562","171,099","1,541,839"
"        Income in the past 12 months at or above the poverty level","467,968","928,567","6,526,192","3,968,321","8,422,995","6,463,509","1,207,626","2,697,985","380,505","22,692,324","1,788,651","2,296,898","15,950,821","1,096,995","3,869,669","1,228,630","3,085,681","4,300,377","427,716","1,825,945","1,166,427","2,393,933","3,855,389","1,527,249","1,808,177","5,423,018","489,350","5,593,575","7,560,243","3,247,272","6,378,849","3,701,608","912,110","550,087","4,236,164","2,772,731","2,811,419","4,777,284","7,899,160","2,017,584","964,235","684,202","1,831,591","626,522","3,668,459","706,552","4,368,155","13,294,075","4,417,209","425,027","1,881,102","11,829,355"
"    HOUSEHOLD INCOME (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median Household Income for Households with a Citizen, Voting-Age Householder","74,192","55,663","54,729","54,647","61,150","56,669","60,399","64,276","62,108","79,296","44,700","77,772","62,781","56,026","85,033","48,422","50,145","52,798","60,813","60,967","44,179","52,522","61,023","20,371","59,440","73,304","64,372","83,573","56,277","52,563","59,320","73,409","81,260","56,576","56,249","50,578","48,314","74,810","66,037","60,485","75,240","65,833","47,210","64,723","71,056","55,335","60,836","56,794","80,919","86,510","72,685","69,956"
