"Label","Alaska!!Total!!Estimate","Alaska!!Total!!Margin of Error","Alaska!!Percent!!Estimate","Alaska!!Percent!!Margin of Error","Maine!!Total!!Estimate","Maine!!Total!!Margin of Error","Maine!!Percent!!Estimate","Maine!!Percent!!Margin of Error","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Percent!!Estimate","North Carolina!!Percent!!Margin of Error","Missouri!!Total!!Estimate","Missouri!!Total!!Margin of Error","Missouri!!Percent!!Estimate","Missouri!!Percent!!Margin of Error","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Percent!!Estimate","Pennsylvania!!Percent!!Margin of Error","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Oregon!!Total!!Estimate","Oregon!!Total!!Margin of Error","Oregon!!Percent!!Estimate","Oregon!!Percent!!Margin of Error","Wyoming!!Total!!Estimate","Wyoming!!Total!!Margin of Error","Wyoming!!Percent!!Estimate","Wyoming!!Percent!!Margin of Error","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Percent!!Estimate","California!!Percent!!Margin of Error","Mississippi!!Total!!Estimate","Mississippi!!Total!!Margin of Error","Mississippi!!Percent!!Estimate","Mississippi!!Percent!!Margin of Error","Connecticut!!Total!!Estimate","Connecticut!!Total!!Margin of Error","Connecticut!!Percent!!Estimate","Connecticut!!Percent!!Margin of Error","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Percent!!Estimate","Texas!!Percent!!Margin of Error","Idaho!!Total!!Estimate","Idaho!!Total!!Margin of Error","Idaho!!Percent!!Estimate","Idaho!!Percent!!Margin of Error","Maryland!!Total!!Estimate","Maryland!!Total!!Margin of Error","Maryland!!Percent!!Estimate","Maryland!!Percent!!Margin of Error","New Mexico!!Total!!Estimate","New Mexico!!Total!!Margin of Error","New Mexico!!Percent!!Estimate","New Mexico!!Percent!!Margin of Error","Alabama!!Total!!Estimate","Alabama!!Total!!Margin of Error","Alabama!!Percent!!Estimate","Alabama!!Percent!!Margin of Error","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!Percent!!Estimate","Tennessee!!Percent!!Margin of Error","Vermont!!Total!!Estimate","Vermont!!Total!!Margin of Error","Vermont!!Percent!!Estimate","Vermont!!Percent!!Margin of Error","Nevada!!Total!!Estimate","Nevada!!Total!!Margin of Error","Nevada!!Percent!!Estimate","Nevada!!Percent!!Margin of Error","West Virginia!!Total!!Estimate","West Virginia!!Total!!Margin of Error","West Virginia!!Percent!!Estimate","West Virginia!!Percent!!Margin of Error","Oklahoma!!Total!!Estimate","Oklahoma!!Total!!Margin of Error","Oklahoma!!Percent!!Estimate","Oklahoma!!Percent!!Margin of Error","Wisconsin!!Total!!Estimate","Wisconsin!!Total!!Margin of Error","Wisconsin!!Percent!!Estimate","Wisconsin!!Percent!!Margin of Error","Puerto Rico!!Total!!Estimate","Puerto Rico!!Total!!Margin of Error","Puerto Rico!!Percent!!Estimate","Puerto Rico!!Percent!!Margin of Error","Kansas!!Total!!Estimate","Kansas!!Total!!Margin of Error","Kansas!!Percent!!Estimate","Kansas!!Percent!!Margin of Error","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Percent!!Estimate","Virginia!!Percent!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","New Jersey!!Total!!Estimate","New Jersey!!Total!!Margin of Error","New Jersey!!Percent!!Estimate","New Jersey!!Percent!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","South Carolina!!Total!!Estimate","South Carolina!!Total!!Margin of Error","South Carolina!!Percent!!Estimate","South Carolina!!Percent!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Percent!!Estimate","Georgia!!Percent!!Margin of Error","Colorado!!Total!!Estimate","Colorado!!Total!!Margin of Error","Colorado!!Percent!!Estimate","Colorado!!Percent!!Margin of Error","Hawaii!!Total!!Estimate","Hawaii!!Total!!Margin of Error","Hawaii!!Percent!!Estimate","Hawaii!!Percent!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","Indiana!!Total!!Estimate","Indiana!!Total!!Margin of Error","Indiana!!Percent!!Estimate","Indiana!!Percent!!Margin of Error","Kentucky!!Total!!Estimate","Kentucky!!Total!!Margin of Error","Kentucky!!Percent!!Estimate","Kentucky!!Percent!!Margin of Error","Louisiana!!Total!!Estimate","Louisiana!!Total!!Margin of Error","Louisiana!!Percent!!Estimate","Louisiana!!Percent!!Margin of Error","Washington!!Total!!Estimate","Washington!!Total!!Margin of Error","Washington!!Percent!!Estimate","Washington!!Percent!!Margin of Error","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Percent!!Estimate","Illinois!!Percent!!Margin of Error","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","New Hampshire!!Total!!Estimate","New Hampshire!!Total!!Margin of Error","New Hampshire!!Percent!!Estimate","New Hampshire!!Percent!!Margin of Error","Rhode Island!!Total!!Estimate","Rhode Island!!Total!!Margin of Error","Rhode Island!!Percent!!Estimate","Rhode Island!!Percent!!Margin of Error","Arkansas!!Total!!Estimate","Arkansas!!Total!!Margin of Error","Arkansas!!Percent!!Estimate","Arkansas!!Percent!!Margin of Error","Delaware!!Total!!Estimate","Delaware!!Total!!Margin of Error","Delaware!!Percent!!Estimate","Delaware!!Percent!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Montana!!Total!!Estimate","Montana!!Total!!Margin of Error","Montana!!Percent!!Estimate","Montana!!Percent!!Margin of Error","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Percent!!Estimate","Arizona!!Percent!!Margin of Error","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Percent!!Estimate","Florida!!Percent!!Margin of Error","Massachusetts!!Total!!Estimate","Massachusetts!!Total!!Margin of Error","Massachusetts!!Percent!!Estimate","Massachusetts!!Percent!!Margin of Error","District of Columbia!!Total!!Estimate","District of Columbia!!Total!!Margin of Error","District of Columbia!!Percent!!Estimate","District of Columbia!!Percent!!Margin of Error","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!Percent!!Estimate","Utah!!Percent!!Margin of Error","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!Percent!!Estimate","New York!!Percent!!Margin of Error"
"        9th to 12th grade, no diploma","26,444","±2,293","5.0%","±0.4","52,524","±3,608","4.9%","±0.3","584,883","±14,362","7.7%","±0.2","330,937","±9,910","7.1%","±0.2","616,418","±12,226","6.3%","±0.1","499,570","±11,514","6.6%","±0.2","68,183","±3,529","4.9%","±0.3","185,531","±7,450","6.0%","±0.2","25,914","±2,795","6.0%","±0.6","1,655,142","±22,217","6.4%","±0.1","223,411","±10,339","10.0%","±0.5","140,171","±6,729","5.4%","±0.3","1,399,208","±25,656","7.6%","±0.1","78,632","±5,025","6.3%","±0.4","245,686","±8,305","5.7%","±0.2","134,409","±6,334","8.9%","±0.4","361,105","±12,368","9.7%","±0.3","402,952","±12,023","7.9%","±0.2","24,270","±3,041","4.9%","±0.6","153,711","±6,293","7.4%","±0.3","125,139","±5,425","8.7%","±0.4","236,416","±6,238","8.3%","±0.2","239,610","±7,819","5.4%","±0.2","194,012","±8,795","7.6%","±0.3","111,068","±5,488","5.3%","±0.3","386,258","±11,462","6.2%","±0.2","25,287","±2,319","4.5%","±0.4","321,265","±10,210","5.2%","±0.2","628,854","±13,296","7.1%","±0.2","321,454","±10,419","8.3%","±0.3","638,227","±14,995","8.5%","±0.2","209,454","±8,598","5.0%","±0.2","39,736","±3,394","3.9%","±0.3","37,075","±3,189","5.7%","±0.5","391,840","±10,081","7.9%","±0.2","272,127","±8,661","8.1%","±0.3","350,812","±10,766","10.1%","±0.3","277,579","±10,484","5.2%","±0.2","548,103","±12,011","6.0%","±0.1","118,711","±5,300","5.1%","±0.2","50,881","±3,636","4.8%","±0.3","49,862","±4,200","6.2%","±0.5","183,542","±6,849","8.3%","±0.3","47,602","±4,095","6.6%","±0.6","181,950","±6,116","4.4%","±0.1","43,308","±2,994","5.3%","±0.4","361,342","±11,162","7.2%","±0.2","1,108,062","±23,728","7.2%","±0.2","260,734","±8,781","5.2%","±0.2","24,872","±2,936","4.7%","±0.6","112,538","±6,979","5.4%","±0.3","907,828","±16,535","6.6%","±0.1"
"        High school graduate (includes equivalency)","160,451","±4,824","30.1%","±0.9","342,506","±7,878","32.0%","±0.7","2,006,153","±22,788","26.3%","±0.3","1,425,877","±16,159","30.8%","±0.3","3,438,340","±22,901","35.2%","±0.2","2,217,910","±19,006","29.4%","±0.3","364,914","±7,738","26.4%","±0.6","727,912","±13,804","23.5%","±0.4","128,479","±5,746","29.6%","±1.4","5,700,939","±35,514","22.1%","±0.1","669,560","±15,156","29.9%","±0.7","715,344","±11,969","27.4%","±0.5","4,965,575","±43,015","26.8%","±0.2","364,447","±11,315","29.1%","±0.9","1,089,090","±16,389","25.2%","±0.4","406,514","±10,567","27.0%","±0.7","1,168,042","±18,157","31.5%","±0.5","1,645,147","±20,449","32.4%","±0.4","148,257","±5,370","29.6%","±1.1","607,942","±12,942","29.3%","±0.6","567,372","±10,614","39.6%","±0.7","914,143","±12,866","32.0%","±0.4","1,362,764","±16,028","31.0%","±0.4","720,523","±14,091","28.1%","±0.6","553,794","±9,122","26.5%","±0.4","1,573,621","±21,261","25.3%","±0.3","148,841","±4,703","26.2%","±0.8","1,655,721","±20,986","26.7%","±0.3","2,944,021","±22,594","33.2%","±0.3","1,167,602","±20,800","30.3%","±0.5","2,154,136","±23,452","28.8%","±0.3","916,890","±17,484","22.1%","±0.4","283,857","±9,503","27.9%","±0.9","198,743","±6,063","30.7%","±0.9","1,646,874","±20,565","33.4%","±0.4","1,126,058","±14,755","33.4%","±0.4","1,199,466","±18,687","34.7%","±0.5","1,245,168","±16,629","23.3%","±0.3","2,412,512","±25,787","26.6%","±0.3","714,742","±11,119","30.7%","±0.5","307,175","±8,188","28.7%","±0.7","232,552","±9,200","29.0%","±1.1","770,535","±12,246","34.6%","±0.6","244,349","±8,651","33.9%","±1.2","1,023,146","±12,730","24.9%","±0.3","235,406","±6,595","28.6%","±0.8","1,268,920","±17,202","25.2%","±0.3","4,428,650","±38,747","28.9%","±0.2","1,198,355","±18,167","23.8%","±0.4","99,438","±5,562","18.9%","±1.0","495,871","±11,071","23.8%","±0.5","3,584,694","±31,965","26.0%","±0.2"
"        Some college, no degree","148,709","±5,567","27.9%","±1.0","236,725","±6,601","22.1%","±0.6","1,837,548","±22,826","24.1%","±0.3","1,146,249","±16,113","24.7%","±0.3","1,792,444","±19,359","18.3%","±0.2","1,950,975","±19,107","25.9%","±0.2","349,519","±8,485","25.3%","±0.6","853,537","±13,246","27.5%","±0.4","120,333","±5,649","27.7%","±1.3","6,611,903","±44,502","25.6%","±0.2","560,421","±14,430","25.0%","±0.6","525,586","±11,809","20.1%","±0.4","4,711,885","±39,805","25.5%","±0.2","345,652","±9,488","27.6%","±0.8","931,025","±13,977","21.6%","±0.3","399,155","±10,016","26.5%","±0.6","886,600","±16,619","23.9%","±0.4","1,189,177","±17,178","23.4%","±0.3","103,584","±4,424","20.7%","±0.9","583,585","±10,620","28.1%","±0.5","301,695","±7,314","21.1%","±0.5","739,378","±11,226","25.9%","±0.4","1,020,683","±14,885","23.2%","±0.3","416,617","±10,643","16.3%","±0.4","540,551","±9,672","25.8%","±0.5","1,360,002","±17,866","21.9%","±0.3","144,944","±5,756","25.5%","±1.0","1,217,284","±19,800","19.6%","±0.3","2,010,151","±21,765","22.7%","±0.2","883,120","±14,518","22.9%","±0.4","1,714,768","±25,622","22.9%","±0.3","969,786","±15,851","23.4%","±0.4","232,821","±7,295","22.9%","±0.7","144,419","±5,285","22.3%","±0.8","1,116,232","±18,092","22.6%","±0.4","774,445","±13,270","23.0%","±0.4","796,361","±16,908","23.0%","±0.5","1,364,019","±17,523","25.5%","±0.3","2,109,665","±20,665","23.2%","±0.2","550,783","±10,380","23.7%","±0.4","223,258","±7,018","20.9%","±0.7","169,944","±7,785","21.2%","±1.0","549,241","±12,616","24.7%","±0.6","149,356","±6,794","20.7%","±1.0","951,408","±12,545","23.2%","±0.3","213,870","±7,215","26.0%","±0.9","1,389,701","±18,261","27.6%","±0.3","3,383,383","±28,883","22.1%","±0.2","961,494","±15,649","19.1%","±0.3","81,020","±5,679","15.4%","±1.1","589,770","±10,736","28.3%","±0.5","2,578,936","±25,114","18.7%","±0.2"
"        Associate's degree","41,699","±2,807","7.8%","±0.5","99,301","±4,584","9.3%","±0.4","734,078","±12,640","9.6%","±0.2","368,097","±9,896","7.9%","±0.2","805,992","±13,820","8.2%","±0.1","689,604","±12,890","9.1%","±0.2","144,797","±5,074","10.5%","±0.4","281,441","±10,761","9.1%","±0.3","46,062","±3,440","10.6%","±0.8","2,158,366","±22,462","8.4%","±0.1","225,059","±9,364","10.0%","±0.4","199,028","±7,683","7.6%","±0.3","1,373,120","±18,846","7.4%","±0.1","118,893","±6,455","9.5%","±0.5","294,136","±9,023","6.8%","±0.2","119,558","±5,537","7.9%","±0.4","310,804","±9,954","8.4%","±0.3","373,922","±10,535","7.4%","±0.2","39,333","±2,772","7.9%","±0.6","178,135","±5,929","8.6%","±0.3","102,113","±5,150","7.1%","±0.4","220,224","±6,172","7.7%","±0.2","463,579","±9,418","10.5%","±0.2","262,649","±9,022","10.3%","±0.4","188,669","±6,548","9.0%","±0.3","472,086","±10,578","7.6%","±0.2","82,195","±4,951","14.5%","±0.9","421,832","±9,856","6.8%","±0.2","723,304","±12,787","8.2%","±0.1","370,622","±10,770","9.6%","±0.3","585,471","±14,772","7.8%","±0.2","340,812","±11,035","8.2%","±0.3","111,751","±5,844","11.0%","±0.6","76,351","±4,480","11.8%","±0.7","415,367","±9,525","8.4%","±0.2","278,441","±6,848","8.3%","±0.2","211,913","±9,130","6.1%","±0.3","558,284","±13,212","10.4%","±0.2","742,204","±13,558","8.2%","±0.1","267,241","±7,117","11.5%","±0.3","102,724","±4,735","9.6%","±0.4","66,975","±4,300","8.3%","±0.5","167,399","±7,915","7.5%","±0.4","54,332","±3,645","7.5%","±0.5","469,157","±9,025","11.4%","±0.2","75,647","±4,384","9.2%","±0.5","446,509","±11,355","8.9%","±0.2","1,538,610","±27,605","10.0%","±0.2","370,597","±9,040","7.4%","±0.2","13,643","±2,427","2.6%","±0.5","214,821","±7,523","10.3%","±0.4","1,223,564","±18,026","8.9%","±0.1"
"        Bachelor's degree","89,107","±4,177","16.7%","±0.8","205,198","±5,909","19.2%","±0.5","1,496,734","±19,085","19.6%","±0.2","787,128","±12,679","17.0%","±0.3","1,798,361","±17,954","18.4%","±0.2","1,279,897","±16,562","17.0%","±0.2","283,910","±7,509","20.6%","±0.5","633,177","±11,339","20.4%","±0.4","67,939","±4,651","15.7%","±1.1","5,507,471","±40,271","21.3%","±0.2","298,001","±10,579","13.3%","±0.5","554,968","±10,348","21.2%","±0.4","3,534,680","±32,957","19.1%","±0.2","220,005","±7,656","17.6%","±0.6","926,603","±13,481","21.4%","±0.3","226,308","±6,614","15.0%","±0.4","558,690","±13,138","15.1%","±0.3","831,536","±14,662","16.4%","±0.3","109,047","±4,442","21.8%","±0.9","324,834","±9,674","15.7%","±0.4","175,667","±6,655","12.3%","±0.5","446,609","±9,327","15.7%","±0.3","822,580","±11,376","18.7%","±0.3","453,927","±11,730","17.7%","±0.5","423,096","±9,436","20.2%","±0.4","1,322,125","±21,754","21.3%","±0.3","115,082","±5,434","20.3%","±0.9","1,514,311","±20,791","24.4%","±0.3","1,497,600","±19,028","16.9%","±0.2","649,088","±14,397","16.9%","±0.4","1,375,082","±21,172","18.4%","±0.3","1,047,679","±14,271","25.2%","±0.3","210,611","±6,678","20.7%","±0.6","125,006","±4,848","19.3%","±0.7","807,551","±15,983","16.4%","±0.3","463,854","±9,390","13.8%","±0.3","513,359","±11,919","14.8%","±0.3","1,165,008","±16,773","21.8%","±0.3","1,873,612","±19,980","20.6%","±0.2","439,944","±9,984","18.9%","±0.4","227,482","±6,434","21.3%","±0.6","156,319","±5,779","19.5%","±0.7","309,602","±8,551","13.9%","±0.4","125,319","±5,648","17.4%","±0.8","955,496","±13,184","23.3%","±0.3","161,452","±4,929","19.6%","±0.6","904,959","±14,056","18.0%","±0.3","2,804,292","±31,615","18.3%","±0.2","1,209,374","±16,234","24.0%","±0.3","137,112","±5,794","26.0%","±1.1","432,248","±9,138","20.7%","±0.4","2,851,606","±28,761","20.7%","±0.2"
"        Graduate or professional degree","55,194","±3,489","10.4%","±0.6","109,807","±4,842","10.3%","±0.5","769,526","±15,563","10.1%","±0.2","460,958","±9,630","9.9%","±0.2","1,080,545","±16,272","11.0%","±0.2","743,772","±12,491","9.9%","±0.2","136,365","±5,090","9.9%","±0.4","358,430","±9,013","11.6%","±0.3","38,120","±3,445","8.8%","±0.8","3,057,972","±28,907","11.8%","±0.1","170,740","±7,820","7.6%","±0.3","412,908","±8,804","15.8%","±0.3","1,772,675","±28,017","9.6%","±0.1","100,313","±6,166","8.0%","±0.5","735,783","±14,758","17.0%","±0.3","165,008","±6,500","10.9%","±0.4","308,519","±9,494","8.3%","±0.3","457,369","±13,821","9.0%","±0.3","67,341","±2,998","13.5%","±0.6","172,003","±6,435","8.3%","±0.3","107,848","±5,528","7.5%","±0.4","225,116","±7,617","7.9%","±0.3","406,543","±8,369","9.2%","±0.2","177,183","±8,212","6.9%","±0.3","232,524","±7,991","11.1%","±0.4","936,019","±16,129","15.1%","±0.3","35,456","±2,636","6.2%","±0.5","879,475","±14,941","14.2%","±0.2","853,968","±14,780","9.6%","±0.2","350,169","±9,554","9.1%","±0.2","815,775","±16,815","10.9%","±0.2","590,227","±11,267","14.2%","±0.3","108,951","±4,799","10.7%","±0.5","51,324","±3,619","7.9%","±0.6","415,398","±11,976","8.4%","±0.2","304,027","±9,346","9.0%","±0.3","254,485","±8,198","7.4%","±0.2","644,899","±12,922","12.0%","±0.2","1,133,216","±17,527","12.5%","±0.2","186,763","±7,329","8.0%","±0.3","136,693","±5,156","12.8%","±0.5","102,403","±6,154","12.8%","±0.8","168,901","±7,149","7.6%","±0.3","83,088","±4,580","11.5%","±0.6","450,968","±9,061","11.0%","±0.2","80,292","±3,973","9.7%","±0.5","506,085","±11,869","10.0%","±0.2","1,584,338","±21,431","10.3%","±0.1","887,040","±14,588","17.6%","±0.3","158,836","±4,922","30.2%","±0.9","213,949","±6,588","10.2%","±0.3","2,082,308","±22,011","15.1%","±0.2"
"        High school degree or higher","495,160","±3,690","93.0%","±0.5","993,537","±5,405","92.8%","±0.4","6,844,039","±22,125","89.7%","±0.2","4,188,309","±13,745","90.4%","±0.2","8,915,682","±18,202","91.2%","±0.1","6,882,158","±16,067","91.2%","±0.2","1,279,505","±6,081","92.7%","±0.3","2,854,497","±13,308","92.1%","±0.3","400,933","±3,684","92.5%","±0.8","23,036,651","±43,016","89.2%","±0.1","1,923,781","±11,836","85.9%","±0.5","2,407,834","±10,681","92.1%","±0.3","16,357,935","±41,040","88.4%","±0.2","1,149,310","±6,860","91.8%","±0.5","3,976,637","±13,456","92.0%","±0.2","1,316,543","±10,076","87.3%","±0.5","3,232,655","±16,109","87.1%","±0.4","4,497,151","±17,705","88.6%","±0.3","467,562","±4,027","93.5%","±0.7","1,866,499","±11,951","89.9%","±0.4","1,254,695","±7,660","87.7%","±0.5","2,545,470","±9,900","89.2%","±0.3","4,076,149","±10,876","92.6%","±0.2","2,030,899","±12,672","79.3%","±0.5","1,938,634","±7,584","92.7%","±0.3","5,663,853","±20,656","91.2%","±0.2","526,518","±4,853","92.8%","±0.6","5,688,623","±23,067","91.8%","±0.2","8,029,044","±17,779","90.6%","±0.2","3,420,601","±13,040","88.8%","±0.3","6,645,232","±23,714","88.8%","±0.2","3,865,394","±14,343","93.1%","±0.3","947,991","±7,827","93.3%","±0.4","595,843","±4,938","92.1%","±0.6","4,401,422","±15,655","89.2%","±0.3","2,946,825","±11,910","87.5%","±0.3","2,975,584","±14,874","86.0%","±0.4","4,977,378","±18,560","92.9%","±0.2","8,271,209","±21,647","91.1%","±0.2","2,159,473","±8,586","92.8%","±0.3","997,332","±5,433","93.2%","±0.4","728,193","±6,685","90.7%","±0.6","1,965,678","±10,412","88.4%","±0.4","656,444","±5,756","91.1%","±0.7","3,850,175","±10,612","93.7%","±0.2","766,667","±4,096","93.1%","±0.4","4,516,174","±15,618","89.7%","±0.2","13,739,273","±39,712","89.6%","±0.2","4,626,860","±18,190","91.9%","±0.2","490,049","±5,079","93.1%","±0.6","1,946,659","±9,521","93.3%","±0.4","12,321,108","±29,233","89.5%","±0.1"
"        Bachelor's degree or higher","144,301","±5,756","27.1%","±1.1","315,005","±7,234","29.4%","±0.7","2,266,260","±23,424","29.7%","±0.3","1,248,086","±14,407","26.9%","±0.3","2,878,906","±22,893","29.4%","±0.2","2,023,669","±19,727","26.8%","±0.3","420,275","±9,169","30.4%","±0.7","991,607","±13,521","32.0%","±0.4","106,059","±4,890","24.5%","±1.1","8,565,443","±45,974","33.1%","±0.2","468,741","±13,562","20.9%","±0.6","967,876","±12,852","37.0%","±0.5","5,307,355","±38,865","28.7%","±0.2","320,318","±9,116","25.6%","±0.7","1,662,386","±17,115","38.5%","±0.4","391,316","±9,151","26.0%","±0.6","867,209","±15,287","23.4%","±0.4","1,288,905","±19,068","25.4%","±0.4","176,388","±5,276","35.3%","±1.0","496,837","±11,755","23.9%","±0.6","283,515","±9,719","19.8%","±0.7","671,725","±12,263","23.5%","±0.4","1,229,123","±13,771","27.9%","±0.3","631,110","±14,645","24.6%","±0.6","655,620","±10,292","31.3%","±0.5","2,258,144","±23,092","36.3%","±0.4","150,538","±5,721","26.5%","±1.0","2,393,786","±23,102","38.6%","±0.3","2,351,568","±24,265","26.5%","±0.3","999,257","±17,116","26.0%","±0.4","2,190,857","±25,465","29.3%","±0.3","1,637,906","±16,877","39.5%","±0.4","319,562","±8,496","31.4%","±0.8","176,330","±5,874","27.2%","±0.9","1,222,949","±21,185","24.8%","±0.4","767,881","±13,442","22.8%","±0.4","767,844","±13,807","22.2%","±0.4","1,809,907","±22,062","33.8%","±0.4","3,006,828","±24,054","33.1%","±0.3","626,707","±11,825","26.9%","±0.5","364,175","±7,619","34.0%","±0.7","258,722","±8,956","32.2%","±1.1","478,503","±11,770","21.5%","±0.5","208,407","±7,270","28.9%","±1.0","1,406,464","±13,660","34.2%","±0.3","241,744","±6,030","29.3%","±0.7","1,411,044","±17,432","28.0%","±0.4","4,388,630","±38,797","28.6%","±0.3","2,096,414","±20,440","41.6%","±0.4","295,948","±5,303","56.2%","±0.8","646,197","±11,510","31.0%","±0.5","4,933,914","±34,030","35.8%","±0.2"
"    POVERTY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total Citizens, 18 years and older, for whom poverty status is determined","519,019","±2,513","(X)","(X)","1,043,005","±2,857","(X)","(X)","7,392,393","±13,959","(X)","(X)","4,485,414","±7,751","(X)","(X)","9,433,711","±13,108","(X)","(X)","7,368,915","±9,119","(X)","(X)","1,338,264","±4,341","(X)","(X)","3,041,834","±10,711","(X)","(X)","422,610","±2,199","(X)","(X)","25,279,607","±41,182","(X)","(X)","2,155,572","±4,336","(X)","(X)","2,521,646","±9,641","(X)","(X)","18,008,534","±34,122","(X)","(X)","1,228,304","±4,447","(X)","(X)","4,201,007","±11,203","(X)","(X)","1,475,778","±8,660","(X)","(X)","3,610,653","±6,188","(X)","(X)","4,939,053","±9,411","(X)","(X)","478,729","±1,985","(X)","(X)","2,046,084","±10,071","(X)","(X)","1,389,017","±2,650","(X)","(X)","2,759,421","±6,438","(X)","(X)","4,280,523","±6,810","(X)","(X)","2,537,780","±3,485","(X)","(X)","2,021,709","±6,583","(X)","(X)","5,997,036","±15,306","(X)","(X)","546,513","±3,199","(X)","(X)","6,057,739","±18,114","(X)","(X)","8,594,425","±9,937","(X)","(X)","3,730,160","±7,058","(X)","(X)","7,257,956","±17,170","(X)","(X)","4,049,465","±11,566","(X)","(X)","986,739","±6,787","(X)","(X)","623,323","±2,687","(X)","(X)","4,774,453","±9,453","(X)","(X)","3,256,528","±5,607","(X)","(X)","3,346,701","±6,711","(X)","(X)","5,254,428","±15,531","(X)","(X)","8,830,210","±18,541","(X)","(X)","2,242,807","±6,194","(X)","(X)","1,033,150","±3,009","(X)","(X)","767,630","±5,493","(X)","(X)","2,150,536","±7,053","(X)","(X)","698,953","±4,007","(X)","(X)","4,011,388","±8,723","(X)","(X)","804,355","±2,455","(X)","(X)","4,910,593","±13,497","(X)","(X)","14,993,461","±34,716","(X)","(X)","4,838,216","±16,731","(X)","(X)","497,589","±4,397","(X)","(X)","2,052,201","±7,006","(X)","(X)","13,371,194","±26,432","(X)","(X)"
