"Label","Alabama!!Total!!Estimate","Alaska!!Total!!Estimate","Arizona!!Total!!Estimate","Arkansas!!Total!!Estimate","California!!Total!!Estimate","Colorado!!Total!!Estimate","Connecticut!!Total!!Estimate","Delaware!!Total!!Estimate","District of Columbia!!Total!!Estimate","Florida!!Total!!Estimate","Georgia!!Total!!Estimate","Hawaii!!Total!!Estimate","Idaho!!Total!!Estimate","Illinois!!Total!!Estimate","Indiana!!Total!!Estimate","Iowa!!Total!!Estimate","Kansas!!Total!!Estimate","Kentucky!!Total!!Estimate","Louisiana!!Total!!Estimate","Maine!!Total!!Estimate","Maryland!!Total!!Estimate","Massachusetts!!Total!!Estimate","Michigan!!Total!!Estimate","Minnesota!!Total!!Estimate","Mississippi!!Total!!Estimate","Missouri!!Total!!Estimate","Montana!!Total!!Estimate","Nebraska!!Total!!Estimate","Nevada!!Total!!Estimate","New Hampshire!!Total!!Estimate","New Jersey!!Total!!Estimate","New Mexico!!Total!!Estimate","New York!!Total!!Estimate","North Carolina!!Total!!Estimate","North Dakota!!Total!!Estimate","Ohio!!Total!!Estimate","Oklahoma!!Total!!Estimate","Oregon!!Total!!Estimate","Pennsylvania!!Total!!Estimate","Rhode Island!!Total!!Estimate","South Carolina!!Total!!Estimate","South Dakota!!Total!!Estimate","Tennessee!!Total!!Estimate","Texas!!Total!!Estimate","Utah!!Total!!Estimate","Vermont!!Total!!Estimate","Virginia!!Total!!Estimate","Washington!!Total!!Estimate","West Virginia!!Total!!Estimate","Wisconsin!!Total!!Estimate","Wyoming!!Total!!Estimate","Puerto Rico!!Total!!Estimate"
"        Less than 9th grade","114,239","9,142","155,754","75,086","1,190,847","84,166","70,215","14,176","12,142","494,800","212,417","26,047","22,686","251,890","141,732","47,478","42,417","142,640","128,154","20,493","93,647","145,102","159,983","79,692","88,639","116,172","13,111","29,545","56,378","15,929","177,161","57,352","529,488","195,644","11,789","208,145","73,157","58,798","246,246","27,246","107,252","14,136","167,764","741,957","31,069","8,276","152,099","104,703","55,030","81,894","5,796","319,033"
"        9th to 12th grade, no diploma","343,166","28,018","362,896","176,786","1,636,417","199,332","142,773","46,083","24,518","1,111,845","612,722","38,056","76,304","540,206","363,014","114,771","108,436","271,086","348,564","55,953","244,327","232,063","491,391","179,746","235,255","313,976","41,911","61,622","153,914","57,718","305,797","128,370","881,466","568,559","24,862","617,456","230,133","177,756","621,652","47,812","320,813","37,135","394,098","1,363,517","107,176","24,462","381,580","283,192","125,735","224,219","19,686","183,512"
"        High school graduate (includes equivalency)","1,179,671","160,911","1,293,831","783,907","5,708,023","940,499","716,665","225,659","93,821","4,444,911","2,175,866","295,504","352,207","2,393,347","1,721,216","727,635","567,852","1,138,750","1,181,750","344,366","1,106,948","1,236,337","2,259,829","1,043,609","675,989","1,477,822","244,930","364,242","623,003","307,973","1,668,401","423,186","3,566,992","2,056,499","151,741","2,951,952","925,759","764,121","3,411,738","232,214","1,144,704","201,503","1,652,030","5,073,321","521,613","148,152","1,565,174","1,276,192","572,183","1,366,217","132,555","721,499"
"        Some college, no degree","875,367","146,027","1,408,079","546,728","6,538,211","970,171","515,552","160,010","92,396","3,359,706","1,735,322","228,842","358,231","2,084,551","1,111,920","555,608","532,410","758,893","797,932","220,426","901,028","948,104","1,901,313","938,587","562,195","1,093,091","203,813","348,168","568,660","217,428","1,176,350","379,094","2,549,926","1,828,802","142,885","1,992,435","721,069","855,824","1,778,779","168,315","889,024","148,163","1,167,118","4,728,702","611,383","100,943","1,357,365","1,348,440","280,843","998,384","112,207","420,365"
"        Associate's degree","320,135","44,961","446,537","165,537","2,141,961","346,707","195,842","57,123","16,577","1,594,454","585,225","103,114","132,451","755,504","413,721","270,466","194,072","277,218","209,174","102,719","293,152","364,864","686,228","468,946","229,572","359,600","72,970","150,967","189,556","102,355","414,239","138,614","1,232,351","771,355","77,801","733,993","226,162","283,734","808,415","65,507","363,534","73,980","377,624","1,471,953","205,700","40,718","489,852","554,436","106,020","459,902","48,662","281,766"
"        Bachelor's degree","568,086","89,372","941,950","324,482","5,677,969","1,088,922","565,281","133,974","138,796","2,872,257","1,425,151","212,655","228,096","1,924,280","813,266","440,597","431,443","475,197","525,168","214,033","929,633","1,234,605","1,298,320","979,578","286,263","813,861","178,221","294,188","341,197","231,504","1,543,904","228,095","2,947,282","1,503,185","116,017","1,519,868","468,088","638,939","1,839,363","159,742","676,306","125,635","884,595","3,680,158","450,818","106,339","1,327,704","1,183,019","174,132","869,630","75,775","471,277"
"        Graduate or professional degree","330,672","54,720","528,427","162,889","3,138,732","614,413","413,146","88,153","158,518","1,629,342","835,134","109,817","112,655","1,138,258","413,487","192,232","227,118","303,718","272,630","120,780","748,186","896,117","765,400","467,398","168,410","475,796","76,804","140,218","179,224","137,308","884,278","167,460","2,103,325","805,600","42,450","855,620","230,691","383,032","1,104,008","99,962","390,708","52,842","486,351","1,815,934","206,490","69,815","952,849","659,053","106,346","412,642","40,171","182,144"
"        High school degree or higher","3,273,931","495,991","4,618,824","1,983,543","23,204,896","3,960,712","2,406,486","664,919","500,108","13,900,670","6,756,698","949,932","1,183,640","8,295,940","4,473,610","2,186,538","1,952,895","2,953,776","2,986,654","1,002,324","3,978,947","4,680,027","6,911,090","3,898,118","1,922,429","4,220,170","776,738","1,297,783","1,901,640","996,568","5,687,172","1,336,449","12,399,876","6,965,441","530,894","8,053,868","2,571,769","2,925,650","8,942,303","725,740","3,464,276","602,123","4,567,718","16,770,068","1,996,004","465,967","5,692,944","5,021,140","1,239,524","4,106,775","409,370","2,077,051"
"        Bachelor's degree or higher","898,758","144,092","1,470,377","487,371","8,816,701","1,703,335","978,427","222,127","297,314","4,501,599","2,260,285","322,472","340,751","3,062,538","1,226,753","632,829","658,561","778,915","797,798","334,813","1,677,819","2,130,722","2,063,720","1,446,976","454,673","1,289,657","255,025","434,406","520,421","368,812","2,428,182","395,555","5,050,607","2,308,785","158,467","2,375,488","698,779","1,021,971","2,943,371","259,704","1,067,014","178,477","1,370,946","5,496,092","657,308","176,154","2,280,553","1,842,072","280,478","1,282,272","115,946","653,421"
"    POVERTY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total Citizens, 18 years and older, for whom poverty status is determined","3,628,834","519,473","5,010,979","2,161,785","25,468,156","4,144,655","2,530,404","703,505","508,741","15,173,968","7,349,746","985,155","1,257,965","8,842,663","4,816,110","2,267,012","2,032,470","3,253,739","3,353,474","1,049,814","4,200,354","4,862,521","7,392,512","4,062,212","2,162,794","4,502,373","812,042","1,346,037","2,082,867","1,034,619","6,035,012","1,490,923","13,418,095","7,489,514","547,770","8,607,739","2,782,171","3,104,064","9,459,852","765,195","3,775,094","629,200","4,992,881","18,380,838","2,098,305","476,653","6,009,518","5,303,298","1,379,381","4,292,455","423,590","2,556,211"
"        Income in the past 12 months below poverty level","490,267","45,598","547,663","309,694","2,437,713","357,383","216,409","67,395","61,968","1,623,687","824,169","78,645","128,502","877,572","512,399","235,140","204,739","470,519","543,785","106,056","325,115","399,818","850,871","324,454","364,952","517,217","96,565","124,213","219,232","73,933","456,444","229,809","1,490,606","860,308","55,579","971,906","368,255","327,002","991,364","73,876","454,545","67,163","595,441","1,946,292","166,327","47,099","517,050","465,287","204,002","398,198","40,467","1,035,683"
"        Income in the past 12 months at or above the poverty level","3,138,567","473,875","4,463,316","1,852,091","23,030,443","3,787,272","2,313,995","636,110","446,773","13,550,281","6,525,577","906,510","1,129,463","7,965,091","4,303,711","2,031,872","1,827,731","2,783,220","2,809,689","943,758","3,875,239","4,462,703","6,541,641","3,737,758","1,797,842","3,985,156","715,477","1,221,824","1,863,635","960,686","5,578,568","1,261,114","11,927,489","6,629,206","492,191","7,635,833","2,413,916","2,777,062","8,468,488","691,319","3,320,549","562,037","4,397,440","16,434,546","1,931,978","429,554","5,492,468","4,838,011","1,175,379","3,894,257","383,123","1,520,528"
"    HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median Household Income for Households with a Citizen, Voting-Age Householder","52,081","75,770","63,622","49,182","83,915","78,721","80,237","70,866","93,535","60,682","62,310","84,755","61,489","70,270","58,224","62,173","62,781","52,425","51,370","59,087","88,196","87,510","59,395","75,166","45,823","57,553","57,299","64,426","64,790","78,128","87,340","52,697","73,694","58,019","65,531","58,908","55,141","67,429","63,798","72,251","56,514","60,242","56,412","66,974","76,807","63,097","77,322","78,896","48,982","64,639","65,052","20,499"
